web-scraper-order,web-scraper-start-url,Link,Link-href,name,price,capacity,type,frequency,latency,image-src
"1698054373-108","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1139129-pamiec-ram-ddr5-patriot-32gb-2x16gb-6000mhz-cl36-viper-venom-rgb.html","Patriot 32GB (2x16GB) 6000MHz CL36 VIPER VENOM RGB","599,00 zł","32 GB","DDR5","6000 MHz","CL 36","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/4/pr_2023_4_17_14_29_17_82_00.jpg"
"1698054380-109","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1144946-pamiec-ram-sodimm-ddr3-pny-8gb-1x8gb-1600mhz-cl11.html","PNY 8GB (1x8GB) 1600MHz CL11","73,99 zł","8 GB","DDR3","1600 MHz","CL 11","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_16_11_49_57_775_00.jpg"
"1698054384-110","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1163325-pamiec-ram-ddr5-patriot-32gb-2x16gb-7800mhz-cl40-viper-rgb-xtreme-5.html","Patriot 32GB (2x16GB) 7800MHz CL40 Viper RGB XTREME 5","1 139,00 zł","32 GB","DDR5","7800 MHz","CL 40","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/7/pr_2023_7_24_16_41_3_25_02.jpg"
"1698054389-111","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1170259-pamiec-ram-ddr5-dell-memory-upgrade-16gb-1rx8-ddr5-udimm-4800mhz.html","Dell Memory Upgrade - 16GB - 1RX8 DDR5 UDIMM 4800MHz","849,00 zł","16 GB","DDR5","4800 MHz","1,2 V","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_3_9_31_28_899_00.jpg"
"1698054395-112","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1170271-pamiec-ram-ddr5-dell-memory-upgrade-32gb-2rx8-ddr5-udimm-4800mhz.html","Dell Memory Upgrade - 32GB - 2RX8 DDR5 UDIMM 4800MHz","1 499,00 zł","32 GB","DDR5","4800 MHz","1,2 V","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_3_9_31_28_899_00.jpg"
"1698054402-113","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1182224-pamiec-ram-ddr5-goodram-64gb-2x32gb-6000mhz-cl30-irdm-black-v-silver.html","GOODRAM 64GB (2x32GB) 6000MHz CL30 IRDM BLACK V SILVER","1 099,00 zł","64 GB","DDR5","6000 MHz","CL 30","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/9/pr_2023_9_22_8_53_46_748_00.jpg"
"1698054408-114","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1182228-pamiec-ram-ddr5-goodram-64gb-2x32gb-6800mhz-cl34-irdm-black-v-silver.html","GOODRAM 64GB (2x32GB) 6800MHz CL34 IRDM BLACK V SILVER","1 199,00 zł","64 GB","DDR5","6800 MHz","CL 34","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/9/pr_2023_9_21_14_10_4_212_00.jpg"
"1698054413-115","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1187756-pamiec-ram-ddr5-crucial-48gb-2x24gb-5600mhz-cl46-pro.html","Crucial  48GB (2x24GB) 5600MHz CL46 Pro","809,00 zł","48 GB","DDR5","5600 MHz","CL 46","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_13_8_49_30_782_00.jpg"
"1698054419-116","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1187757-pamiec-ram-ddr5-crucial-96gb-2x48gb-5600mhz-cl46-pro.html","Crucial  96GB (2x48GB) 5600MHz CL46 Pro","1 609,00 zł","96 GB","DDR5","5600 MHz","CL 46","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_13_8_49_30_782_00.jpg"
"1698054430-118","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1187761-pamiec-ram-ddr5-crucial-24gb-1x24gb-5600mhz-cl46-pro.html","Crucial 24GB (1x24GB) 5600MHz CL46 Pro","399,00 zł","24 GB","DDR5","5600 MHz","CL 46","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_13_8_49_16_647_00.jpg"
"1698054437-119","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1188481-pamiec-ram-ddr5-kingston-fury-64gb-2x32gb-6000mhz-cl32-renegade-rgb.html","Kingston FURY 64GB (2x32GB) 6000MHz CL32 Renegade RGB","1 359,00 zł","64 GB","DDR5","6000 MHz","CL 32","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_17_7_26_36_774_00.jpg"
"1698054443-120","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1188485-pamiec-ram-ddr5-kingston-fury-32gb-2x16gb-6800mhz-cl36-renegade-rgb.html","Kingston FURY 32GB (2x16GB) 6800MHz CL36 Renegade RGB","1 059,00 zł","32 GB","DDR5","6800 MHz","CL 36","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/10/pr_2023_10_17_7_26_36_774_00.jpg"
"1698054450-121","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/1189477-pamiec-ram-ddr5-gskill-32gb-2x16gb-6600mhz-cl34-trident-z5-rgb.html","G.SKILL 32GB (2x16GB) 6600MHz CL34 Trident Z5 RGB","759,00 zł","32 GB","DDR5","6600 MHz","CL 34","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/2/pr_2022_2_2_12_14_36_90_02.jpg"
"1698054457-122","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/122580-pamiec-ram-ddr3-kingston-8gb-1x8gb-1600mhz-cl11.html","Kingston 8GB (1x8GB) 1600MHz CL11","229,00 zł","8 GB","DDR3","1600 MHz","CL 11","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_24_11_53_1_610.jpg"
"1698054463-123","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/175752-pamiec-ram-ddr3-kingston-4gb-1x4gb-1600mhz-cl11.html","Kingston 4GB (1x4GB) 1600MHz CL11","129,00 zł","4 GB","DDR3","1600 MHz","CL 11","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_24_12_10_54_732.jpg"
"1698054469-124","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/215781-pamiec-ram-ddr3-gskill-8gb-2x4gb-2400mhz-cl11-ripjawsx.html","G.SKILL 8GB (2x4GB) 2400MHz CL11 RipjawsX","149,00 zł","8 GB","DDR3","2400 MHz","CL 11","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_24_13_26_32_249.jpg"
"1698054475-125","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/251176-pamiec-ram-ddr4-gskill-8gb-2x4gb-2400mhz-cl15-ripjawsv-red.html","G.SKILL 8GB (2x4GB) 2400MHz CL15 RipjawsV Red","149,00 zł","8 GB","DDR4","2400 MHz","CL 15","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/10/pr_2018_10_27_10_42_20_79_00.jpg"
"1698054480-126","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/259983-pamiec-ram-ddr4-gskill-8gb-2x4gb-2666mhz-cl15-ripjawsv-cl15-red.html","G.SKILL 8GB (2x4GB) 2666MHz CL15 RipjawsV CL15 Red","149,00 zł","8 GB","DDR4","2666 MHz","CL 15","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_8_3_40_493.jpg"
"1698054487-127","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/372156-pamiec-ram-ddr4-corsair-8gb-1x8gb-2400mhz-cl16-valueselect.html","Corsair 8GB (1x8GB) 2400MHz CL16 ValueSelect","119,00 zł","8 GB","DDR4","2400 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_21_12_40_38_93.jpg"
"1698054493-128","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/425189-pamiec-ram-ddr4-kingston-8gb-1x8gb-2666mhz-cl19.html","Kingston 8GB (1x8GB) 2666MHz CL19","109,00 zł","8 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_9_42_31_608.jpg"
"1698054498-129","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/450662-pamiec-ram-ddr4-gskill-16gb-2x8gb-3600mhz-cl19-ripjaws-v.html","G.SKILL 16GB (2x8GB) 3600MHz CL19 Ripjaws V","219,00 zł","16 GB","DDR4","3600 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_8_2_42_59.jpg"
"1698054504-130","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/455006-pamiec-ram-ddr3-kingston-4gb-1x4gb-1600mhz-cl11.html","Kingston 4GB (1x4GB) 1600MHz CL11","139,00 zł","4 GB","DDR3","1600 MHz","CL 11","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2018/10/pr_2018_10_8_15_36_35_918_00.jpg"
"1698054509-131","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/507742-pamiec-ram-ddr4-corsair-16gb-2x8gb-3200mhz-cl16-vengeance-lpx-black.html","Corsair 16GB (2x8GB) 3200MHz CL16 Vengeance LPX Black","229,00 zł","16 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,pr_2015_9_7_14_26_19_882.jpg"
"1698054515-132","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/516829-pamiec-ram-ddr4-gskill-16gb-2x8gb-3600mhz-cl16-tridentz-rgb-neo.html","G.SKILL 16GB (2x8GB) 3600MHz CL16 TridentZ RGB Neo","1 729,00 zł","16 GB","DDR4","3600 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/9/pr_2019_9_19_11_11_26_260_02.jpg"
"1698054521-133","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/589542-pamiec-ram-ddr4-gskill-16gb-2x8gb-4000mhz-cl18-ripjawsv.html","G.SKILL 16GB (2x8GB) 4000MHz CL18 RipjawsV","299,00 zł","16 GB","DDR4","4000 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_8_23_31_969.jpg"
"1698054526-134","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/610821-pamiec-ram-ddr4-gskill-16gb-1x16gb-2666mhz-cl19.html","G.SKILL 16GB (1x16GB) 2666MHz CL19","169,00 zł","16 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_8_27_34_631.jpg"
"1698054533-135","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/612483-pamiec-ram-ddr4-gskill-16gb-2x8gb-3200mhz-cl16-trident-z-rgb.html","G.SKILL 16GB (2x8GB) 3200MHz CL16 Trident Z RGB","319,00 zł","16 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_9_10_11_472.jpg"
"1698054540-136","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/612980-pamiec-ram-ddr4-crucial-8gb-1x8gb-3200mhz.html","Crucial 8GB (1x8GB) 3200MHz","109,00 zł","8 GB","DDR4","3200 MHz","CL 22","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2020/12/pr_2020_12_11_14_34_16_258_00.jpg"
"1698054547-137","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/621622-pamiec-ram-ddr4-patriot-16gb-2x8gb-3200mhz-cl18-viper-steel-rgb.html","Patriot 16GB (2x8GB) 3200MHz CL18 Viper Steel RGB","409,00 zł","16 GB","DDR4","3200 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/1/pr_2021_1_20_16_38_39_951_00.jpg"
"1698054555-138","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/621626-pamiec-ram-ddr4-patriot-16gb-2x8gb-3600mhz-cl20-viper-steel-rgb.html","Patriot 16GB (2x8GB) 3600MHz CL20 Viper Steel RGB","249,00 zł","16 GB","DDR4","3600 MHz","CL 20","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/1/pr_2021_1_20_16_46_44_952_00.jpg"
"1698054561-139","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/631027-pamiec-ram-ddr4-gskill-64gb-2x32gb-3200mhz-cl16-ripjaws-v.html","G.SKILL 64GB (2x32GB) 3200MHz CL16 Ripjaws V","799,00 zł","64 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2017/7/pr_2017_7_25_8_19_38_351.jpg"
"1698054569-140","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/647640-pamiec-ram-ddr4-patriot-64gb-2x32gb-3600mhz-cl20-viper-steel-rgb.html","Patriot 64GB (2x32GB) 3600MHz CL20 Viper Steel RGB","669,00 zł","64 GB","DDR4","3600 MHz","CL 20","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_27_13_48_18_989_04.jpg"
"1698054576-141","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/647736-pamiec-ram-ddr4-patriot-64gb-2x32gb-3200mhz-cl16-viper-steel.html","Patriot 64GB (2x32GB) 3200MHz CL16 Viper Steel","599,00 zł","64 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_27_14_15_38_231_03.jpg"
"1698054583-142","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/647745-pamiec-ram-ddr4-patriot-64gb-2x32gb-3200mhz-cl16-viper-blackout.html","Patriot 64GB (2x32GB) 3200MHz CL16 Viper Blackout","709,00 zł","64 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/4/pr_2021_4_27_14_33_29_186_02.jpg"
"1698054589-143","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/653027-pamiec-ram-ddr4-gskill-32gb-2x16gb-3600mhz-cl18-tridentz-rgb-neo-amd.html","G.SKILL 32GB (2x16GB) 3600MHz CL18 TridentZ RGB Neo AMD","519,00 zł","32 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2019/9/pr_2019_9_19_11_11_26_260_02.jpg"
"1698054594-144","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/658920-pamiec-ram-ddr4-patriot-64gb-2x32gb-3200mhz-cl18-viper-elite-ii.html","Patriot 64GB (2x32GB) 3200MHz CL18 Viper Elite II","599,00 zł","64 GB","DDR4","3200 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/6/pr_2021_6_9_9_15_3_517_00.jpg"
"1698054600-145","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/667231-pamiec-ram-ddr4-kingston-fury-8gb-2x4gb-2666mhz-cl16-beast-black.html","Kingston FURY 8GB (2x4GB) 2666MHz CL16 Beast Black","259,00 zł","8 GB","DDR4","2666 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_7_14_16_12_451_02.jpg"
"1698054609-146","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/667237-pamiec-ram-ddr4-kingston-fury-4gb-1x4gb-2666mhz-cl16-beast-black.html","Kingston FURY 4GB (1x4GB) 2666MHz CL16 Beast Black","139,00 zł","4 GB","DDR4","2666 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_7_14_9_37_715_02.jpg"
"1698054617-147","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/667526-pamiec-ram-ddr4-kingston-fury-64gb-4x16gb-3600mhz-cl18-beast-black.html","Kingston FURY 64GB (4x16GB) 3600MHz CL18 Beast Black","909,00 zł","64 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_7_14_35_58_101_02.jpg"
"1698054624-148","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/667630-pamiec-ram-ddr4-kingston-fury-32gb-2x16gb-2666mhz-cl16-beast-rgb.html","Kingston FURY 32GB (2x16GB) 2666MHz CL16 Beast RGB","449,00 zł","32 GB","DDR4","2666 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_9_14_28_8_356_02.jpg"
"1698054631-149","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/667784-pamiec-ram-ddr4-kingston-fury-8gb-1x8gb-3200mhz-cl16-beast-rgb.html","Kingston FURY 8GB (1x8GB) 3200MHz CL16 Beast RGB","149,00 zł","8 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_9_14_25_20_528_02.jpg"
"1698054639-150","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/667843-pamiec-ram-ddr4-kingston-fury-8gb-1x8gb-3733mhz-cl19-beast-rgb.html","Kingston FURY 8GB (1x8GB) 3733MHz CL19 Beast RGB","169,00 zł","8 GB","DDR4","3733 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_9_14_25_20_528_02.jpg"
"1698054645-151","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668007-pamiec-ram-ddr4-kingston-fury-16gb-1x16gb-2666mhz-cl13-renegade-black.html","Kingston FURY 16GB (1x16GB) 2666MHz CL13 Renegade Black","219,00 zł","16 GB","DDR4","2666 MHz","CL 13","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_12_12_21_9_734_02.jpg"
"1698054652-152","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668008-pamiec-ram-ddr4-kingston-fury-32gb-2x16gb-2666mhz-cl13-renegade-black.html","Kingston FURY 32GB (2x16GB) 2666MHz CL13 Renegade Black","419,00 zł","32 GB","DDR4","2666 MHz","CL 13","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_12_12_39_4_156_02.jpg"
"1698054659-153","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668031-pamiec-ram-ddr4-kingston-fury-64gb-2x32gb-3600mhz-cl18-renegade-black.html","Kingston FURY 64GB (2x32GB) 3600MHz  CL18  Renegade Black","829,00 zł","64 GB","DDR4","3600 MHz","CL 18","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_12_12_39_4_156_02.jpg"
"1698054664-154","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668066-pamiec-ram-ddr4-kingston-fury-16gb-1x16gb-3200mhz-cl16-renegade-black.html","Kingston FURY 16GB (1x16GB) 3200MHz CL16 Renegade Black","219,00 zł","16 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_12_12_21_9_734_02.jpg"
"1698054672-155","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668086-pamiec-ram-ddr4-kingston-fury-8gb-1x8gb-3600mhz-cl16-renegade-black.html","Kingston FURY 8GB (1x8GB) 3600MHz CL16 Renegade Black","149,00 zł","8 GB","DDR4","3600 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_12_12_21_9_734_02.jpg"
"1698054679-156","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668317-pamiec-ram-ddr4-kingston-fury-16gb-2x8gb-3200mhz-cl16-renegade-rgb.html","Kingston FURY 16GB (2x8GB) 3200MHz CL16 Renegade RGB","309,00 zł","16 GB","DDR4","3200 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_13_14_30_56_82_02.jpg"
"1698054685-157","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/668376-pamiec-ram-ddr4-kingston-fury-8gb-1x8gb-3600mhz-cl16-renegade-rgb.html","Kingston FURY 8GB (1x8GB) 3600MHz CL16 Renegade RGB","179,00 zł","8 GB","DDR4","3600 MHz","CL 16","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/7/pr_2021_7_13_14_28_55_445_02.jpg"
"1698054691-158","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/692696-pamiec-ram-ddr3-goodram-8gb-1x8gb-1600mhz-cl11-dedykowana-lenovo.html","GOODRAM 8GB (1x8GB) 1600MHz CL11 dedykowana Lenovo","99,00 zł","8 GB","DDR3","1600 MHz","CL 11","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_3_11_42_9_38_01.jpg"
"1698054699-159","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/692707-pamiec-ram-ddr4-goodram-8gb-1x8gb-2666mhz-cl19-dedykowana-lenovo.html","GOODRAM 8GB (1x8GB) 2666Mhz CL19 dedykowana Lenovo","139,00 zł","8 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_3_12_4_3_72_01.jpg"
"1698054704-160","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/693431-pamiec-ram-ddr4-goodram-16gb-1x16gb-2666mhz-cl19-dedykowana-dell.html","GOODRAM 16GB (1x16GB) 2666MHz CL19 dedykowana Dell","179,00 zł","16 GB","DDR4","2666 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_5_14_0_35_159_01.jpg"
"1698054712-161","https://www.x-kom.pl/g-5/c/28-pamieci-ram.html?f1795-rodzaj-pamieci=293503-dimm&hide_unavailable=1","","https://www.x-kom.pl/p/701431-pamiec-ram-ddr4-gskill-32gb-2x16gb-4000mhz-cl19-trident-z-rgb.html","G.SKILL 32GB (2x16GB) 4000MHz CL19 Trident Z RGB","1 229,00 zł","32 GB","DDR4","4000 MHz","CL 19","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2021/11/pr_2021_11_30_8_50_59_592_00.jpg"
