web-scraper-order,web-scraper-start-url,link,link-href,name,price,diagonal,resolution,matrix,image-src
"1698055160-160","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1107258-monitor-led-24-asus-be24ecsbt-multi-touch.html","ASUS BE24ECSBT Multi-touch","1 549,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_12_11_44_27_115_00.jpg"
"1698055166-161","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1107265-monitor-led-24-asus-va24eqsb-w.html","ASUS VA24EQSB-W","919,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_12_12_10_52_532_07.jpg"
"1698055171-162","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1107289-monitor-led-27-asus-rog-strix-xg27aqv.html","ASUS ROG Strix XG27AQV","1 999,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_12_13_5_7_684_00.jpg"
"1698055177-163","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1107294-monitor-led-27-asus-va27ecpsn.html","ASUS VA27ECPSN","1 249,00 zł","27""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_12_7_17_59_563_08.jpg"
"1698055183-164","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1107343-monitor-led-32-i-wiekszy-asus-rog-swift-oled-pg48uq-4k.html","ASUS ROG Swift OLED PG48UQ 4K","7 599,00 zł","47,5""","3840 x 2160","OLED","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_12_11_0_26_228_09.jpg"
"1698055188-165","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1107353-monitor-led-32-i-wiekszy-asus-proart-pa32ucr-k-4k.html","ASUS ProArt PA32UCR-K 4K","5 799,00 zł","32""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_12_14_46_13_771_00.jpg"
"1698055194-166","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1107372-monitor-led-32-i-wiekszy-asus-proart-pa328qv.html","ASUS ProArt PA328QV","2 199,00 zł","31,5""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_12_14_29_15_525_00.jpg"
"1698055200-167","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1108306-monitor-led-27-hp-m27ha.html","HP M27ha","799,00 zł","27""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/7/pr_2023_7_7_13_38_44_342_02.jpg"
"1698055207-168","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1108319-monitor-led-22-hp-v22v.html","HP V22v","499,00 zł","21,5""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_30_9_57_17_576_02.jpg"
"1698055214-169","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1108321-monitor-led-27-hp-v27c-g5.html","HP V27c G5","779,00 zł","27""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_30_10_8_45_319_01.jpg"
"1698055221-170","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1109826-monitor-led-32-i-wiekszy-msi-pro-mp341cq.html","MSI PRO MP341CQ","1 699,00 zł","34""","3440 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_19_11_35_8_3_00.jpg"
"1698055227-171","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1111812-monitor-led-27-gigabyte-m28u-ae.html","Gigabyte M28U AE","2 499,00 zł","28""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/1/pr_2023_1_26_13_0_26_223_01.jpg"
"1698055232-172","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1119673-monitor-led-32-i-wiekszy-philips-evnia-34m2c8600-00-qd-oled.html","Philips Evnia 34M2C8600/00 QD OLED","4 759,00 zł","34""","3440 x 1440","OLED","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_22_8_27_34_399_06.jpg"
"1698055239-173","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1119693-monitor-led-32-i-wiekszy-philips-evnia-42m2n8900-00-oled.html","Philips Evnia 42M2N8900/00 OLED","7 119,00 zł","42""","3840 x 2160","OLED","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/2/pr_2023_2_22_9_16_7_657_00.jpg"
"1698055243-174","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1123966-monitor-led-27-msi-pro-mp273qp.html","MSI PRO MP273QP","1 029,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_8_10_12_41_353_09.jpg"
"1698055248-175","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1128367-monitor-led-32-i-wiekszy-avtek-touchscreen-7-mate-65.html","Avtek TouchScreen 7 Mate 65","7 999,00 zł","65""","3840 x 2160","LED","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_20_8_42_59_34_00.jpg"
"1698055254-176","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1128377-monitor-led-32-i-wiekszy-avtek-touchscreen-7-mate-75.html","Avtek TouchScreen 7 Mate 75","10 999,00 zł","75""","3840 x 2160","LED","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_20_8_42_59_34_00.jpg"
"1698055261-177","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1128381-monitor-led-32-i-wiekszy-avtek-touchscreen-7-lite-55.html","Avtek TouchScreen 7 Lite 55","7 499,00 zł","55""","3840 x 2160","LED","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_20_9_9_41_957_00.jpg"
"1698055266-178","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1128382-monitor-led-32-i-wiekszy-avtek-touchscreen-7-lite-65.html","Avtek TouchScreen 7 Lite 65","8 999,00 zł","65""","3840 x 2160","LED","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_20_9_9_41_957_00.jpg"
"1698055273-179","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1130416-monitor-led-27-lenovo-legion-y27q-30.html","Lenovo Legion Y27q-30","1 699,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/3/pr_2023_3_23_15_18_35_901_03.jpg"
"1698055279-180","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1132316-monitor-led-24-aoc-24v5ce.html","AOC 24V5CE","699,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/4/pr_2023_4_12_9_19_42_440_08.jpg"
"1698055285-181","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1132649-monitor-led-27-cooler-master-gm27-ffs.html","Cooler Master GM27-FFS","999,00 zł","27""","1920 x 1080","LED, IPS-AHVA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_25_8_53_17_201_00.jpg"
"1698055292-182","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1133156-monitor-led-32-i-wiekszy-samsung-lc34j791wtpxen.html","Samsung LC34J791WTPXEN","3 399,00 zł","34""","3440 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/12/pr_2022_12_2_14_5_12_273_00.jpg"
"1698055298-183","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1137037-monitor-led-27-lenovo-legion-y27-30.html","Lenovo Legion Y27-30","1 099,00 zł","27""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/4/pr_2023_4_13_10_26_20_792_00.jpg"
"1698055303-184","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1142218-monitor-led-32-i-wiekszy-iiyama-prolite-xb3288uhsu-b5.html","iiyama Prolite XB3288UHSU-B5","2 099,00 zł","31,5""","3840 x 2160","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_16_13_31_43_754_00.jpg"
"1698055309-185","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1142923-monitor-led-24-philips-24m1n3200vs-00.html","Philips 24M1N3200VS/00","679,00 zł","23,8""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/6/pr_2023_6_5_12_3_56_422_00.jpg"
"1698055316-186","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1144793-monitor-led-32-i-wiekszy-asus-proart-pa329crv.html","ASUS ProArt PA329CRV","3 899,00 zł","31,5""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/6/pr_2023_6_2_12_29_16_123_00.jpg"
"1698055322-187","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1144800-monitor-led-32-i-wiekszy-asus-va32uqsb-4k.html","ASUS VA32UQSB 4K","2 399,00 zł","31,5""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/6/pr_2023_6_2_11_37_25_902_00.jpg"
"1698055329-188","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1144815-monitor-led-24-asus-proart-pa248crv.html","ASUS ProArt PA248CRV","1 629,00 zł","24,1""","1920 x 1200","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/6/pr_2023_6_5_9_12_21_482_00.jpg"
"1698055335-189","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1144818-monitor-led-24-asus-zenscreen-mb249c.html","ASUS ZenScreen MB249C","1 899,00 zł","","","","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/6/pr_2023_6_5_11_26_1_235_00.jpg"
"1698055339-190","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145574-monitor-led-21-i-mniejszy-lenovo-thinkvision-m14d.html","Lenovo ThinkVision M14d","1 749,00 zł","14""","LED, IPS","C","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_24_8_39_34_646_00.jpg"
"1698055345-191","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145577-monitor-led-27-lenovo-thinkvision-t27p-30.html","Lenovo ThinkVision T27p-30","2 649,00 zł","27""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_23_12_32_50_440_05.jpg"
"1698055351-192","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145579-monitor-led-32-i-wiekszy-lenovo-thinkvision-t32p-30.html","Lenovo ThinkVision T32p-30","3 799,00 zł","31,5""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_23_13_5_49_983_05.jpg"
"1698055357-193","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145580-monitor-led-32-i-wiekszy-lenovo-thinkvision-t34w-30.html","Lenovo ThinkVision T34w-30","2 899,00 zł","34""","3440 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_24_9_6_35_184_00.jpg"
"1698055363-194","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145716-monitor-led-22-viewsonic-va2215-h.html","ViewSonic VA2215-H","449,00 zł","22""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_22_15_37_14_572_01.jpg"
"1698055370-195","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145720-monitor-led-24-viewsonic-td2423.html","ViewSonic TD2423","1 499,00 zł","24""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_22_11_8_51_872_05.jpg"
"1698055375-196","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145721-monitor-led-24-viewsonic-va2406-h.html","ViewSonic VA2406-H","499,00 zł","24""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_22_14_30_58_97_05.jpg"
"1698055383-197","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145722-monitor-led-24-viewsonic-va2432-h.html","ViewSonic VA2432-H","499,00 zł","24""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_22_11_55_13_417_04.jpg"
"1698055388-198","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145723-monitor-led-24-viewsonic-vg2440.html","ViewSonic VG2440","799,00 zł","24""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_22_12_51_59_364_05.jpg"
"1698055393-199","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145725-monitor-led-24-viewsonic-vg2440v.html","ViewSonic VG2440V","1 049,00 zł","24""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_19_15_36_54_637_04.jpg"
"1698055397-200","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145728-monitor-led-24-viewsonic-vg2448a-2.html","ViewSonic VG2448a-2","749,00 zł","24""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_19_14_44_49_79_05.jpg"
"1698055405-201","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145729-monitor-led-24-viewsonic-vg2456.html","ViewSonic VG2456","1 199,00 zł","24""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_19_13_19_25_91_04.jpg"
"1698055410-202","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145732-monitor-led-24-viewsonic-vx2418c.html","ViewSonic VX2418C","849,00 zł","24""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_22_10_29_50_13_05.jpg"
"1698055416-203","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145733-monitor-led-24-viewsonic-vx2428.html","ViewSonic VX2428","849,00 zł","24""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_23_8_57_38_200_00.jpg"
"1698055420-204","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145735-monitor-led-24-viewsonic-vx2428j.html","ViewSonic VX2428j","899,00 zł","24""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_22_13_42_20_754_05.jpg"
"1698055425-205","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145791-monitor-led-27-viewsonic-va2715-h.html","ViewSonic VA2715-H","599,00 zł","27""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_23_8_47_13_319_00.jpg"
"1698055431-206","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145793-monitor-led-27-viewsonic-vg2709-2k-mhd.html","ViewSonic VG2709-2K-MHD","1 199,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_23_10_4_54_716_05.jpg"
"1698055435-207","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145796-monitor-led-27-viewsonic-vg2748a-2.html","ViewSonic VG2748a-2","1 049,00 zł","27""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_23_10_57_22_678_04.jpg"
"1698055440-208","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145801-monitor-led-27-viewsonic-vx2718-2kpc-mhd.html","ViewSonic VX2718-2KPC-MHD","1 149,00 zł","27""","2560 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_23_9_22_25_880_00.jpg"
"1698055447-209","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145803-monitor-led-27-viewsonic-vx2718-pc-mhd.html","ViewSonic VX2718-PC-MHD","899,00 zł","27""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_22_11_52_2_330_00.jpg"
"1698055453-210","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145805-monitor-led-32-i-wiekszy-viewsonic-va3209-2k-mhd.html","ViewSonic VA3209-2K-MHD","1 149,00 zł","31,5""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_19_11_19_54_996_00.jpg"
"1698055458-211","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145807-monitor-led-32-i-wiekszy-viewsonic-vx3218-pc-mhd.html","ViewSonic VX3218-PC-MHD","1 199,00 zł","31,5""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_23_9_28_32_688_00.jpg"
"1698055463-212","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145808-monitor-led-32-i-wiekszy-viewsonic-vx3276-2k-mhd-2.html","ViewSonic VX3276-2K-MHD-2","1 399,00 zł","31,5""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_19_10_35_51_248_00.jpg"
"1698055468-213","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145809-monitor-led-32-i-wiekszy-viewsonic-vx3276-mhd-3.html","ViewSonic VX3276-MHD-3","1 049,00 zł","31,5""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_19_13_2_55_363_00.jpg"
"1698055474-214","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1145810-monitor-led-32-i-wiekszy-viewsonic-vx3418-2kpc.html","ViewSonic VX3418-2KPC","2 099,00 zł","34""","3440 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/5/pr_2023_5_22_14_57_28_179_00.jpg"
"1698055501-219","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1159591-monitor-led-32-i-wiekszy-hp-omen-32c-qhd-va-165hz-1ms-gaming.html","HP OMEN 32c QHD VA 165Hz 1ms Gaming","1 399,00 zł","31,5""","2560 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/7/pr_2023_7_7_9_16_39_968_04.jpg"
"1698055523-223","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1163351-monitor-led-27-iiyama-xub2792qsc-b5.html","iiyama XUB2792QSC-B5","1 269,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/7/pr_2023_7_28_13_26_49_736_03.jpg"
"1698055530-224","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1163361-monitor-led-21-i-mniejszy-iiyama-e1980d-b1.html","iiyama E1980D-B1","699,00 zł","19""","1280 x 1024","LED, TN","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/7/pr_2023_7_28_15_16_41_721_01.jpg"
"1698055537-225","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1163369-monitor-led-22-iiyama-xb2283hsu-b1.html","iiyama XB2283HSU-B1","539,00 zł","21,5""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/7/pr_2023_7_27_15_4_33_969_00.jpg"
"1698055545-226","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1163373-monitor-led-22-iiyama-xub2294hsu-b2.html","iiyama XUB2294HSU-B2","599,00 zł","21,5""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/7/pr_2023_7_27_12_56_48_768_00.jpg"
"1698055553-227","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1164512-monitor-led-32-i-wiekszy-optoma-3652rk.html","Optoma 3652RK","6 999,00 zł","65""","3840 x 2160","LED","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_7_13_55_9_901_00.jpg"
"1698055559-228","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1164518-monitor-led-32-i-wiekszy-optoma-n3651k.html","Optoma N3651K","6 599,00 zł","65""","3840 x 2160","LED","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_3_8_25_6_682_00.jpg"
"1698055563-229","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1164825-monitor-led-32-i-wiekszy-asus-tuf-vg328qa1a.html","ASUS TUF VG328QA1A","1 249,00 zł","31,5""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_3_11_49_4_603_00.jpg"
"1698055571-230","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1165177-monitor-led-27-msi-g281uv.html","MSI G281UV","1 499,00 zł","27""","3840 x 2160","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_3_12_9_4_974_00.jpg"
"1698055575-231","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1165179-monitor-led-32-i-wiekszy-msi-g322c.html","MSI G322C","1 239,00 zł","32""","1920 x 1080","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_7_12_28_25_358_01.jpg"
"1698055582-232","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1165180-monitor-led-32-i-wiekszy-msi-g322cqp.html","MSI G322CQP","1 599,00 zł","31,5""","2560 x 1440","LED, VA","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_2_10_3_14_750_00.jpg"
"1698055586-233","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1165184-monitor-led-21-i-mniejszy-dell-p1424h.html","Dell P1424H","1 039,00 zł","14""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_2_9_27_27_850_00.jpg"
"1698055593-234","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1165197-monitor-led-27-dell-p2723de-5y.html","Dell P2723DE/5Y","1 569,00 zł","27""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2022/4/pr_2022_4_20_6_45_28_4_03.jpg"
"1698055599-235","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1165200-monitor-led-32-i-wiekszy-dell-u3224kba.html","Dell U3224KBA","11 979,00 zł","32""","6144 x 3456","LED, IPS Black","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_3_10_57_14_9_00.jpg"
"1698055606-236","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1165213-monitor-led-24-chiq-24p626f.html","ChiQ 24P626F","529,00 zł","23,8""","1920 x 1080","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_3_14_10_7_286_00.jpg"
"1698055611-237","https://www.x-kom.pl/g-6/c/15-monitory.html?hide_unavailable=1","","https://www.x-kom.pl/p/1165214-monitor-led-32-i-wiekszy-chiq-32p626q.html","ChiQ 32P626Q","1 119,00 zł","31,5""","2560 x 1440","LED, IPS","https://cdn.x-kom.pl/i/setup/images/prod/big/product-new-big,,2023/8/pr_2023_8_3_13_20_58_861_00.jpg"
